riverflow,CSOspills,cso15,cso18
0.5605,452.04915,289.7187,162.33045
0.6025,15.74475,8.9751,6.76965
0.55275,0.3822,0,0.3822
0.89175,3.4167,1.0419,2.3748
1.79825,45.92775,29.49585,16.4319
1.987,18.93945,16.08765,2.8518
2.638,3.0528,0,3.0528
3.15575,38.9253,15.015,23.9103
4.66475,115.96485,57.64845,58.3164
6.63425,432.2892,251.4624,180.8268
8.029,114.90435,72.68415,42.2202
3.24425,2.8389,0.3894,2.4495
2.032,7.7538,4.6533,3.1005
2.0625,4.0539,4.0539,0
0.864,376.8147,267.8772,108.9375
1.10875,35.1936,27.1146,8.079
0.8995,111.91185,22.08225,89.8296
2.348,1027.02825,627.9939,399.03435
2.31975,63.6843,16.16085,47.52345
1.078,139.67355,90.6789,48.99465
1.06775,60.38205,58.8519,1.53015
0.846,105.55035,65.793,39.75735
0.9495,146.40945,115.8759,30.53355
0.759,5.9034,0,5.9034
0.79325,96.9954,80.9622,16.0332
1.042,320.0847,177.22935,142.85535
1.34375,327.492,247.95405,79.53795
0.94825,153.6366,96.7674,56.8692
1.04975,492.6486,300.1275,192.5211
1.16775,98.4417,94.7322,3.7095
0.9385,77.7978,61.7817,16.0161
1.00275,601.7403,345.6957,256.0446
1.50775,1081.5444,664.1259,417.4185
1.736,293.2941,175.971,117.3231
2.5305,188.1195,97.7907,90.3288
2.8995,341.0289,241.4121,99.6168
1.06775,75.2205,55.5489,19.6716
0.99625,13.2165,13.2165,0
0.929,13.5915,10.8753,2.7162
0.9845,58.176,48.882,9.294
1.13025,6.7554,0,6.7554
0.967,3.3099,0,3.3099
1.0255,75.91095,58.7943,17.11665
1.1785,66.68715,27.20355,39.4836
1.16775,255.8781,161.34855,94.52955
1.378,38.45205,19.8927,18.55935
1.078,17.7435,5.31765,12.42585
1.23225,290.0415,196.54935,93.49215
1.29675,14.8161,9.4362,5.3799
1.0395,1.1628,0,1.1628
1.19175,666.3579,384.6246,281.7333
1.3265,740.6478,493.1919,247.4559
1.41475,398.61615,215.77125,182.8449
1.67075,123.68235,93.40605,30.2763
1.93025,504.309,268.99275,235.31625
2.3665,1011.9915,638.31765,373.67385
2.67725,34.7352,17.1627,17.5725
1.35,223.7901,134.18235,89.60775
1.62475,180.1764,154.08315,26.09325
1.60725,3.3642,0,3.3642
1.82625,164.1402,84.65205,79.48815
1.88375,4.1139,3.82275,0.29115
1.749,0.39705,0,0.39705
2.02225,830.7597,496.1859,334.5738
2.149,572.4177,341.78655,230.63115
2.47375,376.83735,251.43945,125.3979
2.38125,391.0026,239.01375,151.98885
2.07825,68.6418,63.825,4.8168
2.5795,40.0155,30.0822,9.9333
1.47,139.6677,107.3838,32.2839
1.571,1.1916,0,1.1916
1.54825,24.3033,20.7552,3.5481
1.66,0.2004,0,0.2004
1.7355,612.939,398.7054,214.2336
1.7245,13.3809,7.3737,6.0072
1.869,145.04955,95.60205,49.4475
1.96575,124.78935,88.33575,36.4536
2.134,5.48175,0,5.48175
2.347,355.49055,194.4432,161.04735
3.00675,602.0772,345.5565,256.5207
6.26125,861.7398,549.0957,312.6441
10.5405,261.5556,168.9804,92.5752
8.59175,230.23815,127.36695,102.8712
8.056,414.88995,302.51565,112.3743
2.203,47.65875,16.8231,30.83565
2.475,388.17975,252.0168,136.16295
2.5875,6.2991,0,6.2991
4.118,37.4334,30.8445,6.5889
3.934,0.6,0,0.6
3.555,5.81625,0,5.81625
